areaCode,areaName,areaType,date,newCasesByPublishDate,newCasesBySpecimenDate
K02000001,United Kingdom,overview,2021-07-08,32551.0,
K02000001,United Kingdom,overview,2021-07-07,32548.0,7449.0
K02000001,United Kingdom,overview,2021-07-06,28773.0,29472.0
K02000001,United Kingdom,overview,2021-07-05,27334.0,31790.0
K02000001,United Kingdom,overview,2021-07-04,24248.0,24090.0
K02000001,United Kingdom,overview,2021-07-03,24885.0,23019.0
K02000001,United Kingdom,overview,2021-07-02,27125.0,25623.0
K02000001,United Kingdom,overview,2021-07-01,27989.0,28041.0
K02000001,United Kingdom,overview,2021-06-30,26068.0,28290.0
K02000001,United Kingdom,overview,2021-06-29,20479.0,27574.0
K02000001,United Kingdom,overview,2021-06-28,22868.0,27720.0
K02000001,United Kingdom,overview,2021-06-27,14876.0,18130.0
K02000001,United Kingdom,overview,2021-06-26,18270.0,15965.0
K02000001,United Kingdom,overview,2021-06-25,15810.0,17774.0
K02000001,United Kingdom,overview,2021-06-24,16703.0,18271.0
K02000001,United Kingdom,overview,2021-06-23,16135.0,17909.0
K02000001,United Kingdom,overview,2021-06-22,11625.0,16992.0
K02000001,United Kingdom,overview,2021-06-21,10633.0,15955.0
K02000001,United Kingdom,overview,2021-06-20,9284.0,9881.0
K02000001,United Kingdom,overview,2021-06-19,10321.0,8256.0
K02000001,United Kingdom,overview,2021-06-18,10476.0,10058.0
K02000001,United Kingdom,overview,2021-06-17,11007.0,10770.0
K02000001,United Kingdom,overview,2021-06-16,9055.0,10786.0
K02000001,United Kingdom,overview,2021-06-15,7673.0,10506.0
K02000001,United Kingdom,overview,2021-06-14,7742.0,10111.0
K02000001,United Kingdom,overview,2021-06-13,7490.0,6950.0
K02000001,United Kingdom,overview,2021-06-12,7738.0,6112.0
K02000001,United Kingdom,overview,2021-06-11,8125.0,7444.0
K02000001,United Kingdom,overview,2021-06-10,7393.0,7846.0
K02000001,United Kingdom,overview,2021-06-09,7540.0,7986.0
K02000001,United Kingdom,overview,2021-06-08,6048.0,7671.0
K02000001,United Kingdom,overview,2021-06-07,5683.0,7736.0
K02000001,United Kingdom,overview,2021-06-06,5341.0,5404.0
K02000001,United Kingdom,overview,2021-06-05,5765.0,4622.0
K02000001,United Kingdom,overview,2021-06-04,6238.0,5717.0
K02000001,United Kingdom,overview,2021-06-03,5274.0,6102.0
K02000001,United Kingdom,overview,2021-06-02,4330.0,6061.0
K02000001,United Kingdom,overview,2021-06-01,3165.0,5253.0
K02000001,United Kingdom,overview,2021-05-31,3383.0,3801.0
K02000001,United Kingdom,overview,2021-05-30,3240.0,3101.0
K02000001,United Kingdom,overview,2021-05-29,3398.0,2933.0
K02000001,United Kingdom,overview,2021-05-28,4182.0,3490.0
K02000001,United Kingdom,overview,2021-05-27,3542.0,3636.0
K02000001,United Kingdom,overview,2021-05-26,3180.0,3801.0
K02000001,United Kingdom,overview,2021-05-25,2493.0,3296.0
K02000001,United Kingdom,overview,2021-05-24,2439.0,3232.0
K02000001,United Kingdom,overview,2021-05-23,2235.0,2239.0
K02000001,United Kingdom,overview,2021-05-22,2694.0,1932.0
K02000001,United Kingdom,overview,2021-05-21,2829.0,2291.0
K02000001,United Kingdom,overview,2021-05-20,2874.0,2426.0
K02000001,United Kingdom,overview,2021-05-19,2696.0,2711.0
K02000001,United Kingdom,overview,2021-05-18,2412.0,2707.0
K02000001,United Kingdom,overview,2021-05-17,1979.0,2762.0
K02000001,United Kingdom,overview,2021-05-16,1926.0,1853.0
K02000001,United Kingdom,overview,2021-05-15,2027.0,1580.0
K02000001,United Kingdom,overview,2021-05-14,2193.0,1850.0
K02000001,United Kingdom,overview,2021-05-13,2657.0,2090.0
K02000001,United Kingdom,overview,2021-05-12,2284.0,2228.0
K02000001,United Kingdom,overview,2021-05-11,2474.0,2200.0
K02000001,United Kingdom,overview,2021-05-10,2357.0,2648.0
K02000001,United Kingdom,overview,2021-05-09,1770.0,2168.0
K02000001,United Kingdom,overview,2021-05-08,2047.0,1512.0
