date,areaType,areaCode,areaName,newCasesByPublishDate,newCasesBySpecimenDate
2020-10-19,overview,K02000001,United Kingdom,18804,
2020-10-18,overview,K02000001,United Kingdom,16982,1809.0
2020-10-17,overview,K02000001,United Kingdom,16171,6103.0
2020-10-16,overview,K02000001,United Kingdom,15650,11928.0
2020-10-15,overview,K02000001,United Kingdom,18980,16882.0
2020-10-14,overview,K02000001,United Kingdom,19724,19311.0
2020-10-13,overview,K02000001,United Kingdom,17234,18364.0
2020-10-12,overview,K02000001,United Kingdom,13972,18946.0
2020-10-11,overview,K02000001,United Kingdom,12872,11860.0
2020-10-10,overview,K02000001,United Kingdom,15166,12527.0
2020-10-09,overview,K02000001,United Kingdom,13864,15725.0
2020-10-08,overview,K02000001,United Kingdom,17540,18055.0
2020-10-07,overview,K02000001,United Kingdom,14162,18228.0
2020-10-06,overview,K02000001,United Kingdom,14542,16713.0
2020-10-05,overview,K02000001,United Kingdom,12594,16428.0
2020-10-04,overview,K02000001,United Kingdom,22961,11601.0
2020-10-03,overview,K02000001,United Kingdom,12872,11594.0
2020-10-02,overview,K02000001,United Kingdom,6968,13527.0
2020-10-01,overview,K02000001,United Kingdom,6914,12956.0
2020-09-30,overview,K02000001,United Kingdom,7108,0.0
2020-09-29,overview,K02000001,United Kingdom,7143,0.0
2020-09-28,overview,K02000001,United Kingdom,4044,0.0
2020-09-27,overview,K02000001,United Kingdom,5693,0.0
2020-09-26,overview,K02000001,United Kingdom,6042,0.0
2020-09-25,overview,K02000001,United Kingdom,6874,7184.0
2020-09-24,overview,K02000001,United Kingdom,6634,0.0
2020-09-23,overview,K02000001,United Kingdom,6178,0.0
2020-09-22,overview,K02000001,United Kingdom,4926,0.0
2020-09-21,overview,K02000001,United Kingdom,4368,0.0
2020-09-20,overview,K02000001,United Kingdom,3899,0.0
2020-09-19,overview,K02000001,United Kingdom,4422,4793.0
2020-09-18,overview,K02000001,United Kingdom,4322,0.0
2020-09-17,overview,K02000001,United Kingdom,3395,0.0
2020-09-16,overview,K02000001,United Kingdom,3991,4361.0
2020-09-15,overview,K02000001,United Kingdom,3105,0.0
2020-09-14,overview,K02000001,United Kingdom,2621,0.0
2020-09-13,overview,K02000001,United Kingdom,3330,0.0
2020-09-12,overview,K02000001,United Kingdom,3497,0.0
2020-09-11,overview,K02000001,United Kingdom,3539,0.0
2020-09-10,overview,K02000001,United Kingdom,2919,0.0
2020-09-09,overview,K02000001,United Kingdom,2659,0.0
2020-09-08,overview,K02000001,United Kingdom,2460,0.0
2020-09-07,overview,K02000001,United Kingdom,2948,3836.0
2020-09-06,overview,K02000001,United Kingdom,2988,0.0
2020-09-05,overview,K02000001,United Kingdom,1813,0.0
2020-09-04,overview,K02000001,United Kingdom,1940,0.0
2020-09-03,overview,K02000001,United Kingdom,1735,0.0
2020-09-02,overview,K02000001,United Kingdom,1508,0.0
2020-09-01,overview,K02000001,United Kingdom,1295,2244.0
2020-08-31,overview,K02000001,United Kingdom,1406,1495.0
2020-08-30,overview,K02000001,United Kingdom,1715,0.0
2020-08-29,overview,K02000001,United Kingdom,1108,0.0
2020-08-28,overview,K02000001,United Kingdom,1276,0.0
2020-08-27,overview,K02000001,United Kingdom,1522,0.0
2020-08-26,overview,K02000001,United Kingdom,1048,0.0
2020-08-25,overview,K02000001,United Kingdom,1184,0.0
2020-08-24,overview,K02000001,United Kingdom,853,0.0
2020-08-23,overview,K02000001,United Kingdom,1160,0.0
2020-08-22,overview,K02000001,United Kingdom,1288,0.0
2020-08-21,overview,K02000001,United Kingdom,1033,0.0
2020-08-20,overview,K02000001,United Kingdom,1182,0.0
2020-08-19,overview,K02000001,United Kingdom,812,1227.0
2020-08-18,overview,K02000001,United Kingdom,1089,0.0
2020-08-17,overview,K02000001,United Kingdom,713,0.0
2020-08-16,overview,K02000001,United Kingdom,1040,0.0
2020-08-15,overview,K02000001,United Kingdom,1077,0.0
2020-08-14,overview,K02000001,United Kingdom,1441,0.0
2020-08-13,overview,K02000001,United Kingdom,1129,0.0
2020-08-12,overview,K02000001,United Kingdom,1009,0.0
2020-08-11,overview,K02000001,United Kingdom,1148,0.0
