areaCode,areaName,areaType,date,newCasesByPublishDate,newCasesBySpecimenDate
K02000001,United Kingdom,overview,2021-06-26,18270.0,
K02000001,United Kingdom,overview,2021-06-25,15810.0,
K02000001,United Kingdom,overview,2021-06-24,16703.0,
K02000001,United Kingdom,overview,2021-06-23,16135.0,17197.0
K02000001,United Kingdom,overview,2021-06-22,11625.0,16919.0
K02000001,United Kingdom,overview,2021-06-21,10633.0,15951.0
K02000001,United Kingdom,overview,2021-06-20,9284.0,9866.0
K02000001,United Kingdom,overview,2021-06-19,10321.0,8247.0
K02000001,United Kingdom,overview,2021-06-18,10476.0,10043.0
K02000001,United Kingdom,overview,2021-06-17,11007.0,10763.0
K02000001,United Kingdom,overview,2021-06-16,9055.0,10778.0
K02000001,United Kingdom,overview,2021-06-15,7673.0,10503.0
K02000001,United Kingdom,overview,2021-06-14,7742.0,10108.0
K02000001,United Kingdom,overview,2021-06-13,7490.0,6947.0
K02000001,United Kingdom,overview,2021-06-12,7738.0,6111.0
K02000001,United Kingdom,overview,2021-06-11,8125.0,7445.0
K02000001,United Kingdom,overview,2021-06-10,7393.0,7839.0
K02000001,United Kingdom,overview,2021-06-09,7540.0,7985.0
K02000001,United Kingdom,overview,2021-06-08,6048.0,7667.0
K02000001,United Kingdom,overview,2021-06-07,5683.0,7718.0
K02000001,United Kingdom,overview,2021-06-06,5341.0,5402.0
K02000001,United Kingdom,overview,2021-06-05,5765.0,4619.0
K02000001,United Kingdom,overview,2021-06-04,6238.0,5712.0
K02000001,United Kingdom,overview,2021-06-03,5274.0,6093.0
K02000001,United Kingdom,overview,2021-06-02,4330.0,6052.0
K02000001,United Kingdom,overview,2021-06-01,3165.0,5242.0
K02000001,United Kingdom,overview,2021-05-31,3383.0,3802.0
K02000001,United Kingdom,overview,2021-05-30,3240.0,3098.0
K02000001,United Kingdom,overview,2021-05-29,3398.0,2932.0
K02000001,United Kingdom,overview,2021-05-28,4182.0,3489.0
K02000001,United Kingdom,overview,2021-05-27,3542.0,3633.0
K02000001,United Kingdom,overview,2021-05-26,3180.0,3799.0
K02000001,United Kingdom,overview,2021-05-25,2493.0,3294.0
K02000001,United Kingdom,overview,2021-05-24,2439.0,3229.0
K02000001,United Kingdom,overview,2021-05-23,2235.0,2238.0
K02000001,United Kingdom,overview,2021-05-22,2694.0,1931.0
