date,areaType,areaCode,areaName,newCasesByPublishDate,newCasesBySpecimenDate
2020-09-06,overview,K02000001,United Kingdom,2988,
2020-09-05,overview,K02000001,United Kingdom,1813,
2020-09-04,overview,K02000001,United Kingdom,1940,
2020-09-03,overview,K02000001,United Kingdom,1735,1937.0
2020-09-02,overview,K02000001,United Kingdom,1508,2139.0
2020-09-01,overview,K02000001,United Kingdom,1295,2135.0
2020-08-31,overview,K02000001,United Kingdom,1406,1358.0
2020-08-30,overview,K02000001,United Kingdom,1715,1142.0
2020-08-29,overview,K02000001,United Kingdom,1108,1229.0
2020-08-28,overview,K02000001,United Kingdom,1276,1615.0
2020-08-27,overview,K02000001,United Kingdom,1522,1564.0
2020-08-26,overview,K02000001,United Kingdom,1048,1347.0
2020-08-25,overview,K02000001,United Kingdom,1184,1248.0
2020-08-24,overview,K02000001,United Kingdom,853,1228.0
2020-08-23,overview,K02000001,United Kingdom,1160,804.0
2020-08-22,overview,K02000001,United Kingdom,1288,826.0
2020-08-21,overview,K02000001,United Kingdom,1033,1195.0
2020-08-20,overview,K02000001,United Kingdom,1182,1462.0
2020-08-19,overview,K02000001,United Kingdom,812,1246.0
2020-08-18,overview,K02000001,United Kingdom,1089,1084.0
2020-08-17,overview,K02000001,United Kingdom,713,1284.0
2020-08-16,overview,K02000001,United Kingdom,1040,598.0
2020-08-15,overview,K02000001,United Kingdom,1077,698.0
2020-08-14,overview,K02000001,United Kingdom,1441,1168.0
2020-08-13,overview,K02000001,United Kingdom,1129,1149.0
2020-08-12,overview,K02000001,United Kingdom,1009,1197.0
2020-08-11,overview,K02000001,United Kingdom,1148,1340.0
2020-08-10,overview,K02000001,United Kingdom,816,1475.0
2020-08-09,overview,K02000001,United Kingdom,1062,615.0
2020-08-08,overview,K02000001,United Kingdom,758,697.0
2020-08-07,overview,K02000001,United Kingdom,871,936.0
2020-08-06,overview,K02000001,United Kingdom,950,1083.0
2020-08-05,overview,K02000001,United Kingdom,892,1060.0
2020-08-04,overview,K02000001,United Kingdom,670,1024.0
2020-08-03,overview,K02000001,United Kingdom,938,1043.0
2020-08-02,overview,K02000001,United Kingdom,743,555.0
2020-08-01,overview,K02000001,United Kingdom,761,543.0
2020-07-31,overview,K02000001,United Kingdom,880,674.0
2020-07-30,overview,K02000001,United Kingdom,846,923.0
2020-07-29,overview,K02000001,United Kingdom,763,1036.0
2020-07-28,overview,K02000001,United Kingdom,581,844.0
2020-07-27,overview,K02000001,United Kingdom,685,857.0
2020-07-26,overview,K02000001,United Kingdom,747,560.0
2020-07-25,overview,K02000001,United Kingdom,767,521.0
2020-07-24,overview,K02000001,United Kingdom,768,776.0
2020-07-23,overview,K02000001,United Kingdom,769,799.0
2020-07-22,overview,K02000001,United Kingdom,560,798.0
2020-07-21,overview,K02000001,United Kingdom,445,783.0
2020-07-20,overview,K02000001,United Kingdom,580,815.0
2020-07-19,overview,K02000001,United Kingdom,726,444.0
2020-07-18,overview,K02000001,United Kingdom,827,499.0
2020-07-17,overview,K02000001,United Kingdom,687,582.0
2020-07-16,overview,K02000001,United Kingdom,642,707.0
2020-07-15,overview,K02000001,United Kingdom,538,772.0
2020-07-14,overview,K02000001,United Kingdom,398,689.0
2020-07-13,overview,K02000001,United Kingdom,530,736.0
2020-07-12,overview,K02000001,United Kingdom,650,368.0
2020-07-11,overview,K02000001,United Kingdom,820,454.0
2020-07-10,overview,K02000001,United Kingdom,512,570.0
2020-07-09,overview,K02000001,United Kingdom,642,721.0
2020-07-08,overview,K02000001,United Kingdom,630,705.0
2020-07-07,overview,K02000001,United Kingdom,581,602.0
2020-07-06,overview,K02000001,United Kingdom,352,708.0
