areaCode,areaName,areaType,date,newCasesByPublishDate,newCasesBySpecimenDate
K02000001,United Kingdom,overview,2021-06-13,7490.0,
K02000001,United Kingdom,overview,2021-06-12,7738.0,
K02000001,United Kingdom,overview,2021-06-11,8125.0,
K02000001,United Kingdom,overview,2021-06-10,7393.0,7609.0
K02000001,United Kingdom,overview,2021-06-09,7540.0,7939.0
K02000001,United Kingdom,overview,2021-06-08,6048.0,7648.0
K02000001,United Kingdom,overview,2021-06-07,5683.0,7696.0
K02000001,United Kingdom,overview,2021-06-06,5341.0,5401.0
K02000001,United Kingdom,overview,2021-06-05,5765.0,4616.0
K02000001,United Kingdom,overview,2021-06-04,6238.0,5707.0
K02000001,United Kingdom,overview,2021-06-03,5274.0,6086.0
K02000001,United Kingdom,overview,2021-06-02,4330.0,6045.0
K02000001,United Kingdom,overview,2021-06-01,3165.0,5245.0
K02000001,United Kingdom,overview,2021-05-31,3383.0,3799.0
K02000001,United Kingdom,overview,2021-05-30,3240.0,3095.0
K02000001,United Kingdom,overview,2021-05-29,3398.0,2930.0
K02000001,United Kingdom,overview,2021-05-28,4182.0,3490.0
K02000001,United Kingdom,overview,2021-05-27,3542.0,3629.0
K02000001,United Kingdom,overview,2021-05-26,3180.0,3798.0
K02000001,United Kingdom,overview,2021-05-25,2493.0,3294.0
K02000001,United Kingdom,overview,2021-05-24,2439.0,3226.0
K02000001,United Kingdom,overview,2021-05-23,2235.0,2238.0
K02000001,United Kingdom,overview,2021-05-22,2694.0,1930.0
K02000001,United Kingdom,overview,2021-05-21,2829.0,2289.0
K02000001,United Kingdom,overview,2021-05-20,2874.0,2424.0
K02000001,United Kingdom,overview,2021-05-19,2696.0,2711.0
K02000001,United Kingdom,overview,2021-05-18,2412.0,2702.0
K02000001,United Kingdom,overview,2021-05-17,1979.0,2760.0
K02000001,United Kingdom,overview,2021-05-16,1926.0,1852.0
K02000001,United Kingdom,overview,2021-05-15,2027.0,1580.0
K02000001,United Kingdom,overview,2021-05-14,2193.0,1846.0
K02000001,United Kingdom,overview,2021-05-13,2657.0,2091.0
K02000001,United Kingdom,overview,2021-05-12,2284.0,2228.0
K02000001,United Kingdom,overview,2021-05-11,2474.0,2198.0
K02000001,United Kingdom,overview,2021-05-10,2357.0,2646.0
K02000001,United Kingdom,overview,2021-05-09,1770.0,2168.0
K02000001,United Kingdom,overview,2021-05-08,2047.0,1511.0
K02000001,United Kingdom,overview,2021-05-07,2490.0,1864.0
K02000001,United Kingdom,overview,2021-05-06,2613.0,2157.0
K02000001,United Kingdom,overview,2021-05-05,2144.0,2391.0
K02000001,United Kingdom,overview,2021-05-04,1946.0,2402.0
K02000001,United Kingdom,overview,2021-05-03,1649.0,1974.0
K02000001,United Kingdom,overview,2021-05-02,1671.0,1424.0
K02000001,United Kingdom,overview,2021-05-01,1907.0,1353.0
K02000001,United Kingdom,overview,2021-04-30,2381.0,1698.0
K02000001,United Kingdom,overview,2021-04-29,2445.0,2083.0
K02000001,United Kingdom,overview,2021-04-28,2166.0,2362.0
K02000001,United Kingdom,overview,2021-04-27,2685.0,2059.0
K02000001,United Kingdom,overview,2021-04-26,2064.0,2438.0
K02000001,United Kingdom,overview,2021-04-25,1712.0,1992.0
K02000001,United Kingdom,overview,2021-04-24,2061.0,1462.0
K02000001,United Kingdom,overview,2021-04-23,2678.0,1887.0
K02000001,United Kingdom,overview,2021-04-22,2729.0,2244.0
K02000001,United Kingdom,overview,2021-04-21,2396.0,2536.0
K02000001,United Kingdom,overview,2021-04-20,2524.0,2363.0
K02000001,United Kingdom,overview,2021-04-19,2963.0,2594.0
K02000001,United Kingdom,overview,2021-04-18,1882.0,2434.0
K02000001,United Kingdom,overview,2021-04-17,2206.0,1633.0
K02000001,United Kingdom,overview,2021-04-16,2596.0,2189.0
K02000001,United Kingdom,overview,2021-04-15,2672.0,2185.0
K02000001,United Kingdom,overview,2021-04-14,2491.0,2392.0
K02000001,United Kingdom,overview,2021-04-13,2472.0,2332.0
K02000001,United Kingdom,overview,2021-04-12,3568.0,2703.0
K02000001,United Kingdom,overview,2021-04-11,1730.0,2251.0
K02000001,United Kingdom,overview,2021-04-10,2589.0,2258.0
K02000001,United Kingdom,overview,2021-04-09,3150.0,2781.0
K02000001,United Kingdom,overview,2021-04-08,3030.0,2981.0
K02000001,United Kingdom,overview,2021-04-07,2763.0,3075.0
K02000001,United Kingdom,overview,2021-04-06,2379.0,3116.0
K02000001,United Kingdom,overview,2021-04-05,2762.0,2614.0
K02000001,United Kingdom,overview,2021-04-04,2297.0,2293.0
K02000001,United Kingdom,overview,2021-04-03,3423.0,2406.0
K02000001,United Kingdom,overview,2021-04-02,3402.0,2621.0
K02000001,United Kingdom,overview,2021-04-01,4479.0,3470.0
K02000001,United Kingdom,overview,2021-03-31,4052.0,3764.0
K02000001,United Kingdom,overview,2021-03-30,4040.0,3596.0
K02000001,United Kingdom,overview,2021-03-29,4654.0,3978.0
K02000001,United Kingdom,overview,2021-03-28,3862.0,4649.0
K02000001,United Kingdom,overview,2021-03-27,4715.0,3537.0
K02000001,United Kingdom,overview,2021-03-26,6187.0,4388.0
K02000001,United Kingdom,overview,2021-03-25,6397.0,5394.0
K02000001,United Kingdom,overview,2021-03-24,5605.0,6005.0
K02000001,United Kingdom,overview,2021-03-23,5379.0,5253.0
K02000001,United Kingdom,overview,2021-03-22,5342.0,6198.0
K02000001,United Kingdom,overview,2021-03-21,5312.0,5234.0
K02000001,United Kingdom,overview,2021-03-20,5587.0,4099.0
K02000001,United Kingdom,overview,2021-03-19,4802.0,4995.0
K02000001,United Kingdom,overview,2021-03-18,6303.0,5472.0
K02000001,United Kingdom,overview,2021-03-17,5758.0,5775.0
K02000001,United Kingdom,overview,2021-03-16,5294.0,5672.0
K02000001,United Kingdom,overview,2021-03-15,5089.0,6504.0
K02000001,United Kingdom,overview,2021-03-14,4618.0,4300.0
K02000001,United Kingdom,overview,2021-03-13,5534.0,4240.0
K02000001,United Kingdom,overview,2021-03-12,6609.0,5586.0
