date,areaType,areaCode,areaName,newCasesByPublishDate,newCasesBySpecimenDate
2020-11-21,overview,K02000001,United Kingdom,19875,
2020-11-20,overview,K02000001,United Kingdom,20252,
2020-11-19,overview,K02000001,United Kingdom,22915,10769.0
2020-11-18,overview,K02000001,United Kingdom,19609,19327.0
2020-11-17,overview,K02000001,United Kingdom,20051,22781.0
2020-11-16,overview,K02000001,United Kingdom,21363,26370.0
2020-11-15,overview,K02000001,United Kingdom,24962,15655.0
2020-11-14,overview,K02000001,United Kingdom,26860,17920.0
2020-11-13,overview,K02000001,United Kingdom,27301,24016.0
2020-11-12,overview,K02000001,United Kingdom,33470,24321.0
2020-11-11,overview,K02000001,United Kingdom,22950,27374.0
2020-11-10,overview,K02000001,United Kingdom,20412,27433.0
2020-11-09,overview,K02000001,United Kingdom,21350,31062.0
2020-11-08,overview,K02000001,United Kingdom,20572,19971.0
2020-11-07,overview,K02000001,United Kingdom,24957,18522.0
2020-11-06,overview,K02000001,United Kingdom,23287,23325.0
2020-11-05,overview,K02000001,United Kingdom,24141,23761.0
2020-11-04,overview,K02000001,United Kingdom,25177,23698.0
2020-11-03,overview,K02000001,United Kingdom,20018,25580.0
2020-11-02,overview,K02000001,United Kingdom,18950,31520.0
2020-11-01,overview,K02000001,United Kingdom,23254,15757.0
2020-10-31,overview,K02000001,United Kingdom,21915,16508.0
2020-10-30,overview,K02000001,United Kingdom,24405,22687.0
2020-10-29,overview,K02000001,United Kingdom,23065,23336.0
2020-10-28,overview,K02000001,United Kingdom,24701,23615.0
2020-10-27,overview,K02000001,United Kingdom,22885,24115.0
2020-10-26,overview,K02000001,United Kingdom,20890,26555.0
2020-10-25,overview,K02000001,United Kingdom,19790,15724.0
2020-10-24,overview,K02000001,United Kingdom,23012,16245.0
2020-10-23,overview,K02000001,United Kingdom,20530,21482.0
2020-10-22,overview,K02000001,United Kingdom,21242,23251.0
2020-10-21,overview,K02000001,United Kingdom,26688,25448.0
2020-10-20,overview,K02000001,United Kingdom,21331,25307.0
2020-10-19,overview,K02000001,United Kingdom,18804,25596.0
2020-10-18,overview,K02000001,United Kingdom,16982,14177.0
2020-10-17,overview,K02000001,United Kingdom,16171,14762.0
2020-10-16,overview,K02000001,United Kingdom,15650,17708.0
2020-10-15,overview,K02000001,United Kingdom,18980,18427.0
2020-10-14,overview,K02000001,United Kingdom,19724,19700.0
2020-10-13,overview,K02000001,United Kingdom,17234,18891.0
2020-10-12,overview,K02000001,United Kingdom,13972,19437.0
2020-10-11,overview,K02000001,United Kingdom,12872,12062.0
2020-10-10,overview,K02000001,United Kingdom,15166,12509.0
2020-10-09,overview,K02000001,United Kingdom,13864,15726.0
2020-10-08,overview,K02000001,United Kingdom,17540,18230.0
2020-10-07,overview,K02000001,United Kingdom,14162,18313.0
2020-10-06,overview,K02000001,United Kingdom,14542,17056.0
2020-10-05,overview,K02000001,United Kingdom,12594,16547.0
2020-10-04,overview,K02000001,United Kingdom,22961,11794.0
2020-10-03,overview,K02000001,United Kingdom,12872,11550.0
2020-10-02,overview,K02000001,United Kingdom,6968,13679.0
2020-10-01,overview,K02000001,United Kingdom,6914,13181.0
2020-09-30,overview,K02000001,United Kingdom,7108,12548.0
2020-09-29,overview,K02000001,United Kingdom,7143,10241.0
2020-09-28,overview,K02000001,United Kingdom,4044,9924.0
2020-09-27,overview,K02000001,United Kingdom,5693,6973.0
2020-09-26,overview,K02000001,United Kingdom,6042,6758.0
2020-09-25,overview,K02000001,United Kingdom,6874,7246.0
2020-09-24,overview,K02000001,United Kingdom,6634,7615.0
2020-09-23,overview,K02000001,United Kingdom,6178,7059.0
2020-09-22,overview,K02000001,United Kingdom,4926,6417.0
2020-09-21,overview,K02000001,United Kingdom,4368,5599.0
2020-09-20,overview,K02000001,United Kingdom,3899,5318.0
2020-09-19,overview,K02000001,United Kingdom,4422,4859.0
2020-09-18,overview,K02000001,United Kingdom,4322,4961.0
2020-09-17,overview,K02000001,United Kingdom,3395,4633.0
2020-09-16,overview,K02000001,United Kingdom,3991,4367.0
2020-09-15,overview,K02000001,United Kingdom,3105,3554.0
2020-09-14,overview,K02000001,United Kingdom,2621,3396.0
2020-09-13,overview,K02000001,United Kingdom,3330,2143.0
2020-09-12,overview,K02000001,United Kingdom,3497,2670.0
2020-09-11,overview,K02000001,United Kingdom,3539,3295.0
2020-09-10,overview,K02000001,United Kingdom,2919,3598.0
2020-09-09,overview,K02000001,United Kingdom,2659,3330.0
2020-09-08,overview,K02000001,United Kingdom,2460,3303.0
2020-09-07,overview,K02000001,United Kingdom,2948,3863.0
2020-09-06,overview,K02000001,United Kingdom,2988,2447.0
2020-09-05,overview,K02000001,United Kingdom,1813,2545.0
2020-09-04,overview,K02000001,United Kingdom,1940,3037.0
2020-09-03,overview,K02000001,United Kingdom,1735,3102.0
2020-09-02,overview,K02000001,United Kingdom,1508,2994.0
2020-09-01,overview,K02000001,United Kingdom,1295,2252.0
2020-08-31,overview,K02000001,United Kingdom,1406,1503.0
2020-08-30,overview,K02000001,United Kingdom,1715,1162.0
2020-08-29,overview,K02000001,United Kingdom,1108,1229.0
2020-08-28,overview,K02000001,United Kingdom,1276,1630.0
2020-08-27,overview,K02000001,United Kingdom,1522,1563.0
2020-08-26,overview,K02000001,United Kingdom,1048,1352.0
2020-08-25,overview,K02000001,United Kingdom,1184,1250.0
2020-08-24,overview,K02000001,United Kingdom,853,1222.0
2020-08-23,overview,K02000001,United Kingdom,1160,823.0
2020-08-22,overview,K02000001,United Kingdom,1288,827.0
