areaCode,areaName,areaType,date,newCasesByPublishDate,newCasesBySpecimenDate
K02000001,United Kingdom,overview,2021-10-07,40701.0,
K02000001,United Kingdom,overview,2021-10-06,39851.0,10420.0
K02000001,United Kingdom,overview,2021-10-05,33869.0,32053.0
K02000001,United Kingdom,overview,2021-10-04,35077.0,42123.0
K02000001,United Kingdom,overview,2021-10-03,30439.0,31330.0
K02000001,United Kingdom,overview,2021-10-02,30301.0,25730.0
K02000001,United Kingdom,overview,2021-10-01,35577.0,28513.0
K02000001,United Kingdom,overview,2021-09-30,36480.0,31962.0
K02000001,United Kingdom,overview,2021-09-29,36722.0,34265.0
K02000001,United Kingdom,overview,2021-09-28,34526.0,35881.0
K02000001,United Kingdom,overview,2021-09-27,37960.0,40868.0
K02000001,United Kingdom,overview,2021-09-26,32417.0,31489.0
K02000001,United Kingdom,overview,2021-09-25,32468.0,27834.0
K02000001,United Kingdom,overview,2021-09-24,35623.0,31573.0
K02000001,United Kingdom,overview,2021-09-23,36710.0,35203.0
K02000001,United Kingdom,overview,2021-09-22,34460.0,36126.0
K02000001,United Kingdom,overview,2021-09-21,31564.0,38210.0
K02000001,United Kingdom,overview,2021-09-20,36100.0,40078.0
K02000001,United Kingdom,overview,2021-09-19,29612.0,30521.0
K02000001,United Kingdom,overview,2021-09-18,30144.0,26283.0
K02000001,United Kingdom,overview,2021-09-17,32651.0,29052.0
K02000001,United Kingdom,overview,2021-09-16,26911.0,29166.0
K02000001,United Kingdom,overview,2021-09-15,30597.0,29934.0
K02000001,United Kingdom,overview,2021-09-14,26628.0,30916.0
K02000001,United Kingdom,overview,2021-09-13,30825.0,34108.0
K02000001,United Kingdom,overview,2021-09-12,29173.0,23667.0
K02000001,United Kingdom,overview,2021-09-11,29547.0,23186.0
K02000001,United Kingdom,overview,2021-09-10,37622.0,28703.0
K02000001,United Kingdom,overview,2021-09-09,38013.0,33404.0
K02000001,United Kingdom,overview,2021-09-08,38975.0,35228.0
K02000001,United Kingdom,overview,2021-09-07,37489.0,38018.0
K02000001,United Kingdom,overview,2021-09-06,41192.0,44139.0
K02000001,United Kingdom,overview,2021-09-05,37011.0,31251.0
K02000001,United Kingdom,overview,2021-09-04,37578.0,31359.0
K02000001,United Kingdom,overview,2021-09-03,42076.0,38020.0
K02000001,United Kingdom,overview,2021-09-02,38154.0,41623.0
K02000001,United Kingdom,overview,2021-09-01,35693.0,42836.0
K02000001,United Kingdom,overview,2021-08-31,32181.0,44484.0
K02000001,United Kingdom,overview,2021-08-30,26476.0,34176.0
K02000001,United Kingdom,overview,2021-08-29,33196.0,25696.0
K02000001,United Kingdom,overview,2021-08-28,32406.0,27166.0
K02000001,United Kingdom,overview,2021-08-27,38046.0,33182.0
K02000001,United Kingdom,overview,2021-08-26,38281.0,36987.0
K02000001,United Kingdom,overview,2021-08-25,35847.0,38100.0
K02000001,United Kingdom,overview,2021-08-24,30838.0,37021.0
K02000001,United Kingdom,overview,2021-08-23,31914.0,39043.0
K02000001,United Kingdom,overview,2021-08-22,32253.0,28301.0
K02000001,United Kingdom,overview,2021-08-21,32058.0,28091.0
K02000001,United Kingdom,overview,2021-08-20,37314.0,31677.0
K02000001,United Kingdom,overview,2021-08-19,36572.0,35831.0
K02000001,United Kingdom,overview,2021-08-18,33904.0,38009.0
K02000001,United Kingdom,overview,2021-08-17,26852.0,37189.0
K02000001,United Kingdom,overview,2021-08-16,28438.0,36193.0
K02000001,United Kingdom,overview,2021-08-15,26750.0,24920.0
K02000001,United Kingdom,overview,2021-08-14,29520.0,24648.0
K02000001,United Kingdom,overview,2021-08-13,32700.0,28447.0
K02000001,United Kingdom,overview,2021-08-12,33074.0,31129.0
K02000001,United Kingdom,overview,2021-08-11,29612.0,32738.0
K02000001,United Kingdom,overview,2021-08-10,23510.0,30931.0
K02000001,United Kingdom,overview,2021-08-09,25161.0,31525.0
K02000001,United Kingdom,overview,2021-08-08,27429.0,22416.0
K02000001,United Kingdom,overview,2021-08-07,28612.0,22117.0
K02000001,United Kingdom,overview,2021-08-06,31808.0,27541.0
K02000001,United Kingdom,overview,2021-08-05,30215.0,31079.0
K02000001,United Kingdom,overview,2021-08-04,29312.0,31729.0
K02000001,United Kingdom,overview,2021-08-03,21691.0,29820.0
K02000001,United Kingdom,overview,2021-08-02,21952.0,29271.0
K02000001,United Kingdom,overview,2021-08-01,24470.0,20513.0
K02000001,United Kingdom,overview,2021-07-31,26144.0,20155.0
K02000001,United Kingdom,overview,2021-07-30,29622.0,24285.0
K02000001,United Kingdom,overview,2021-07-29,31117.0,27908.0
K02000001,United Kingdom,overview,2021-07-28,27734.0,29666.0
K02000001,United Kingdom,overview,2021-07-27,23511.0,29043.0
K02000001,United Kingdom,overview,2021-07-26,24950.0,29398.0
K02000001,United Kingdom,overview,2021-07-25,29173.0,21776.0
K02000001,United Kingdom,overview,2021-07-24,31795.0,22482.0
K02000001,United Kingdom,overview,2021-07-23,36389.0,27282.0
K02000001,United Kingdom,overview,2021-07-22,39906.0,30745.0
K02000001,United Kingdom,overview,2021-07-21,44104.0,34934.0
K02000001,United Kingdom,overview,2021-07-20,46558.0,39073.0
K02000001,United Kingdom,overview,2021-07-19,39950.0,46902.0
K02000001,United Kingdom,overview,2021-07-18,48161.0,35506.0
K02000001,United Kingdom,overview,2021-07-17,54674.0,37856.0
K02000001,United Kingdom,overview,2021-07-16,51870.0,54234.0
K02000001,United Kingdom,overview,2021-07-15,48553.0,60762.0
K02000001,United Kingdom,overview,2021-07-14,42302.0,53825.0
K02000001,United Kingdom,overview,2021-07-13,36660.0,46740.0
K02000001,United Kingdom,overview,2021-07-12,34471.0,43649.0
K02000001,United Kingdom,overview,2021-07-11,31772.0,30025.0
K02000001,United Kingdom,overview,2021-07-10,32367.0,27878.0
K02000001,United Kingdom,overview,2021-07-09,35707.0,32223.0
K02000001,United Kingdom,overview,2021-07-08,32551.0,33352.0
K02000001,United Kingdom,overview,2021-07-07,32548.0,37816.0
