,net_nl,gross_nl,nowcast_nl_chain,nowcast_nl_chain_0_2
2020-09-27,1200,1204,1800.437191,1807.620223
2020-09-28,2078,2093,1922.538052,1959.019982
2020-09-29,1781,1805,1894.535359,1921.836496
2020-09-30,2487,2538,2029.576346,2088.107118
2020-10-01,2682,2718,2171.700169,2256.444422
2020-10-02,2557,2586,2231.269622,2350.221065
2020-10-03,2305,2319,2282.248855,2388.217981
2020-10-04,1388,1407,2209.253522,2221.830432
2020-10-05,2622,2633,2401.761128,2468.606874
2020-10-06,2813,2825,2543.956894,2631.006177
2020-10-07,4066,4102,2952.155881,3129.756344
2020-10-08,4501,4523,3382.384577,3759.605732
2020-10-09,4733,4749,3798.79211,4309.26343
2020-10-10,3497,3508,3897.194836,4216.611131
2020-10-11,2482,2493,3847.601279,3950.027035
2020-10-12,4094,4099,4106.1953,4294.774354
2020-10-13,5118,5131,4476.282175,4779.621902
2020-10-14,6627,6655,5192.071185,5622.981329
2020-10-15,7342,7361,5888.904442,6498.238503
2020-10-16,7810,7834,6593.097363,7326.084093
2020-10-17,5617,5624,6639.779123,7109.333792
2020-10-18,4334,4392,6598.247911,6689.463306
2020-10-19,6829,6853,7078.709697,7220.060428
2020-10-20,7569,7609,7563.651482,7725.473951
2020-10-21,11283,11298,8903.145892,9233.221616
2020-10-22,11263,11311,9687.092297,10143.0501
2020-10-23,14666,14706,11511.91384,12423.12927
2020-10-24,11233,11244,12256.7677,12726.36216
2020-10-25,8684,8700,12468.77282,12375.96715
2020-10-26,11353,11395,13210.95094,13155.40766
2020-10-27,0,6,10020.36001,9321.540377
2020-10-28,31639,31659,15883.51653,18052.60461
2020-10-29,18751,18767,17239.43845,18799.76852
2020-10-30,19069,19082,18332.49473,19529.20202
2020-10-31,14240,14249,18140.43592,18378.21429
2020-11-01,12117,12135,18107.74928,17641.94201
2020-11-02,15209,15218,18479.46492,18042.74123
2020-11-03,17238,17268,18928.12516,18458.59056
2020-11-04,20014,20051,19512.74694,19022.92919
2020-11-05,21393,21416,20310.35436,19711.80676
2020-11-06,23431,23450,21585.31995,20982.47754
2020-11-07,16155,16161,21241.98571,20138.85254
2020-11-08,13345,13368,20765.30627,19265.95966
2020-11-09,15189,15210,20443.98568,18966.01098
2020-11-10,18489,18514,20344.40669,19003.74536
2020-11-11,21816,21824,20949.95466,19623.24378
2020-11-12,23565,23603,21609.59875,20353.09848
2020-11-13,22440,22459,21962.29902,20720.32149
2020-11-14,17114,17130,21596.81613,19988.06044
2020-11-15,10873,10894,20480.26756,18657.47388
2020-11-16,14284,14333,19912.93026,18227.4312
2020-11-17,17550,17579,19677.93476,18012.68227
2020-11-18,22588,22618,20527.58346,18713.3833
2020-11-19,23640,23671,21084.41824,19350.05366
2020-11-20,23014,23059,21452.28756,19870.19251
2020-11-21,15853,15868,20821.62923,19094.23412
2020-11-22,10924,10971,20092.84314,18197.45223
2020-11-23,13371,13434,19389.65443,17559.53906
2020-11-24,18552,18731,19255.09067,17647.5059
2020-11-25,22298,22502,19720.66187,18034.7431
2020-11-26,22800,22978,19963.49394,18350.8903
2020-11-27,21687,21792,20127.55303,19013.78753
2020-11-28,14781,14828,19752.55676,18035.81304
2020-11-29,11201,11247,19143.77332,17253.42904
2020-11-30,13462,13550,18439.11134,16662.0361
2020-12-01,17213,17368,18435.19579,16711.73504
2020-12-02,22066,22241,19193.62715,17580.76172
2020-12-03,23421,23611,19855.91993,18456.3914
2020-12-04,23320,23500,20589.07228,19316.37358
2020-12-05,17923,17961,20671.21089,19188.77802
2020-12-06,12421,12502,20355.01553,18555.73471
2020-12-07,13764,14095,19925.47333,18145.89062
2020-12-08,20810,21049,20568.9966,18845.15122
2020-12-09,23747,23932,21255.55333,19756.14828
2020-12-10,29844,30068,23064.16557,21748.23182
2020-12-11,28411,28686,24436.85519,23345.11293
2020-12-12,20416,20503,24479.25829,23138.35816
2020-12-13,16355,16521,24375.87961,22754.90227
2020-12-14,14315,14580,23232.62217,21496.66559
2020-12-15,27508,27855,24643.13978,23227.36275
2020-12-16,27086,27169,25113.93543,23796.46337
2020-12-17,33735,34036,26644.13238,25781.00966
2020-12-18,31317,31473,27715.18124,27005.61398
2020-12-19,22916,22997,27377.5045,26221.38114
2020-12-20,16653,16776,26820.15455,25224.65853
2020-12-21,19351,19647,26216.18915,24699.70833
2020-12-22,24709,24875,26210.34395,24671.09163
2020-12-23,32159,32428,27335.35743,25947.91261
